popgrp,age_group_m3,all_locations,popgrp_mass,pm10_grp_mean,pm10_overall_mean,fl_temp_bound
1,0_14,1,0.1798837661054959,0.999856892771824,0.9998100458350576,-40
1,0_14,1,0.1798837661054959,0.9997979957928438,0.999730687592375,-39
1,0_14,1,0.1798837661054959,0.9997154110202984,0.9996220953836596,-38
1,0_14,1,0.1798837661054959,0.9996027843745212,0.9994722937780092,-37
1,0_14,1,0.1798837661054959,0.999444043849802,0.999260142491746,-36
1,0_14,1,0.1798837661054959,0.9992512950150648,0.99900103165787,-35
1,0_14,1,0.1798837661054959,0.999004036976317,0.9986685436905728,-34
1,0_14,1,0.1798837661054959,0.9986974259210296,0.9982545879132144,-33
1,0_14,1,0.1798837661054959,0.9983123213867348,0.9977345025569956,-32
1,0_14,1,0.1798837661054959,0.9978437061304296,0.9971050882125146,-31
1,0_14,1,0.1798837661054959,0.997295497612618,0.9963749954964856,-30
1,0_14,1,0.1798837661054959,0.9966449550400108,0.9955143863822556,-29
1,0_14,1,0.1798837661054959,0.9958788442431212,0.9945033196577816,-28
1,0_14,1,0.1798837661054959,0.9949919097995376,0.9933462600206304,-27
1,0_14,1,0.1798837661054959,0.9939682544470382,0.9920209966773268,-26
1,0_14,1,0.1798837661054959,0.9928205661409396,0.990547444428994,-25
1,0_14,1,0.1798837661054959,0.9915620851253064,0.9889489508549988,-24
1,0_14,1,0.1798837661054959,0.9901629762750476,0.9871971275991588,-23
1,0_14,1,0.1798837661054959,0.9886212060231662,0.9852939161978536,-22
1,0_14,1,0.1798837661054959,0.9869191834191076,0.9832214555136626,-21
1,0_14,1,0.1798837661054959,0.9850182194526274,0.9809495374504674,-20
1,0_14,1,0.1798837661054959,0.9829018288969776,0.9784730587133902,-19
1,0_14,1,0.1798837661054959,0.980524235728548,0.9757102465468,-18
1,0_14,1,0.1798837661054959,0.9777998235341714,0.9725874926493588,-17
1,0_14,1,0.1798837661054959,0.9746509893672826,0.9690206671245436,-16
1,0_14,1,0.1798837661054959,0.9710347647285176,0.964984498145508,-15
1,0_14,1,0.1798837661054959,0.9668679896056344,0.9604038781310996,-14
1,0_14,1,0.1798837661054959,0.9620672971782562,0.9552021906294942,-13
1,0_14,1,0.1798837661054959,0.95665431898946,0.9494411076277758,-12
1,0_14,1,0.1798837661054959,0.9507189526442832,0.9431996274836656,-11
1,0_14,1,0.1798837661054959,0.944364159608332,0.9365709554165856,-10
1,0_14,1,0.1798837661054959,0.937444091184263,0.92939094912472,-9
1,0_14,1,0.1798837661054959,0.9299311653496942,0.9216392175425012,-8
1,0_14,1,0.1798837661054959,0.9217088032953048,0.9131977597430312,-7
1,0_14,1,0.1798837661054959,0.9126061831259236,0.9038917352502476,-6
1,0_14,1,0.1798837661054959,0.9027585660194732,0.8938701834948604,-5
1,0_14,1,0.1798837661054959,0.8920157147740874,0.8829718634060104,-4
1,0_14,1,0.1798837661054959,0.8805754192693718,0.8713920958036913,-3
1,0_14,1,0.1798837661054959,0.8684177870775595,0.8590986431915442,-2
1,0_14,1,0.1798837661054959,0.8554659513050503,0.8460426605953725,-1
1,0_14,1,0.1798837661054959,0.8416297497468328,0.8320959638518242,0
1,0_14,1,0.1798837661054959,0.8267490540547326,0.8171354635445274,1
1,0_14,1,0.1798837661054959,0.810844225472489,0.8010888876944698,2
1,0_14,1,0.1798837661054959,0.7939081854807951,0.7840329087447234,3
1,0_14,1,0.1798837661054959,0.7760815367045965,0.7660878215542419,4
1,0_14,1,0.1798837661054959,0.7573246027028994,0.7472116509889423,5
1,0_14,1,0.1798837661054959,0.7379359332678493,0.7276891968612796,6
1,0_14,1,0.1798837661054959,0.7179104908049597,0.7075362490987104,7
1,0_14,1,0.1798837661054959,0.6974482617957376,0.6869459932942569,8
1,0_14,1,0.1798837661054959,0.6767034428072474,0.66615907163062,9
1,0_14,1,0.1798837661054959,0.6552964719176445,0.6447654140357246,10
1,0_14,1,0.1798837661054959,0.6333518698763494,0.6228876716451444,11
1,0_14,1,0.1798837661054959,0.610414986941528,0.6000686548409541,12
1,0_14,1,0.1798837661054959,0.5864956191504886,0.5763050801995291,13
1,0_14,1,0.1798837661054959,0.5615514042003699,0.5515496082142171,14
1,0_14,1,0.1798837661054959,0.5358228801435067,0.5260859574912489,15
1,0_14,1,0.1798837661054959,0.509539046156739,0.5001745874869047,16
1,0_14,1,0.1798837661054959,0.4824129560975393,0.4734902241568972,17
1,0_14,1,0.1798837661054959,0.45475747399376654,0.44619543764106784,18
1,0_14,1,0.1798837661054959,0.4264546291563617,0.4182283539917999,19
1,0_14,1,0.1798837661054959,0.3979645971571229,0.38999299550276945,20
1,0_14,1,0.1798837661054959,0.3695290685167625,0.36182626651845007,21
1,0_14,1,0.1798837661054959,0.3413764124604655,0.33403448328952057,22
1,0_14,1,0.1798837661054959,0.31341062743516257,0.30648820401505444,23
1,0_14,1,0.1798837661054959,0.2855068348363419,0.27906645062304286,24
1,0_14,1,0.1798837661054959,0.25737402925457326,0.2514920223117859,25
1,0_14,1,0.1798837661054959,0.2280731780514746,0.22285498710614252,26
1,0_14,1,0.1798837661054959,0.1976540565842293,0.19316416394504732,27
1,0_14,1,0.1798837661054959,0.1676818361254604,0.16375000651520685,28
1,0_14,1,0.1798837661054959,0.14060613653213602,0.1368860642990811,29
1,0_14,1,0.1798837661054959,0.11808487504972828,0.11461330678240958,30
1,0_14,1,0.1798837661054959,0.09914311180513947,0.0959635576959188,31
1,0_14,1,0.1798837661054959,0.08258449153117672,0.07974086595965943,32
1,0_14,1,0.1798837661054959,0.06748218664058245,0.06500132729679203,33
1,0_14,1,0.1798837661054959,0.05358417025942322,0.05151690245569469,34
1,0_14,1,0.1798837661054959,0.04069182470857969,0.03904274385820631,35
1,0_14,1,0.1798837661054959,0.02911410993605628,0.02791391352690647,36
1,0_14,1,0.1798837661054959,0.01930756779509378,0.01852679387645672,37
1,0_14,1,0.1798837661054959,0.01158867829337062,0.01113838064666034,38
1,0_14,1,0.1798837661054959,0.00626169724684237,0.00603831854952443,39
1,0_14,1,0.1798837661054959,0.00294101410807161,0.00284006240237881,40
